CRUK0097_BR_FLN1	CRUK0097_SU_T1.R1	CRUK0097_SU_T1.R2	clusterID	treeID
14	0	7	1	1
31	0	0	2	1
0	80	0	3	1
0	0	41	5	1
27	0	0	8	1
0	20	0	9	1
0	0	10	10	1
28	0	0	11	1
0	0	25	12	1
0	0	17	13	1
14	0	7	1	3
31	0	0	2	3
0	80	25	3	3
0	0	16	5	3
27	0	0	8	3
0	20	0	9	3
0	0	10	10	3
28	0	0	11	3
0	0	25	12	3
0	0	17	13	3
14	0	7	1	4
31	0	0	2	4
0	80	0	3	4
0	0	58	5	4
27	0	0	8	4
0	20	0	9	4
0	0	10	10	4
28	0	0	11	4
0	0	8	12	4
0	0	17	13	4
14	0	7	1	7
31	0	0	2	7
0	80	8	3	7
0	0	33	5	7
27	0	0	8	7
0	20	0	9	7
0	0	10	10	7
28	0	0	11	7
0	0	25	12	7
0	0	17	13	7
