CRUK0487_SU_FLN1	CRUK0487_SU_FLN2	CRUK0487_SU_FLN3	CRUK0487_SU_LN1	CRUK0487_SU_T1.R1	CRUK0487_SU_T1.R2	CRUK0487_SU_T1.R3	CRUK0487_SU_T1.R4	CRUK0487_SU_T1.R5	CRUK0487_SU_T1.R6	CRUK0487_SU_T1.R7	clusterID	treeID
25	0	0	0	0	0	0	33	0	0	53	1	3
0	0	0	0	0	0	0	0	20	0	0	2	3
0	0	0	0	0	0	28	0	0	0	0	3	3
0	14	0	22	0	0	0	0	0	0	0	4	3
0	0	0	0	0	0	0	0	0	82	0	5	3
0	0	32	0	0	0	0	0	0	0	0	6	3
75	0	0	0	0	0	0	0	0	0	0	7	3
0	59	0	78	0	0	0	0	0	0	0	8	3
0	0	0	0	0	0	0	0	4.81203007518797	0	0	9	3
0	0	0	0	0	0	0	0	0	0	19	10	3
0	27	9.44827586206896	0	0	0	0	0	0	0	0	11	3
0	0	0	0	30	0	0	0	0	0	0	12	3
0	0	0	0	0	0	0	19	0	0	0	13	3
0	0	0	0	0	0	0	0	42.1052631578947	0	0	14	3
0	0	0	0	0	0	13	0	0	0	0	15	3
0	0	0	0	0	0	11	0	0	0	0	16	3
0	0	0	0	17	0	0	0	0	0	0	17	3
0	0	0	0	0	0	0	11	0	0	0	18	3
0	0	0	0	27	0	0	0	0	0	0	19	3
0	0	0	0	0	100	48	0	0	0	0	20	3
0	0	39.551724137931	0	0	0	0	0	0	0	28	21	3
0	0	0	0	0	0	0	0	0	18	0	22	3
0	0	19	0	0	0	0	0	0	0	0	23	3
0	0	0	0	0	0	0	37	33.0827067669173	0	0	24	3
0	0	0	0	26	0	0	0	0	0	0	25	3
