CRUK0718_SU_FLN1	CRUK0718_SU_T1.R1	CRUK0718_SU_T1.R2	CRUK0718_SU_T1.R3	CRUK0718_SU_T1.R4	CRUK0718_SU_T1.R5	CRUK0718_SU_T1.R6	CRUK0718_SU_T1.R7	CRUK0718_SU_T1.R8	clusterID	treeID
0	0	0	0	0	0	0	0	0	1	11
0	10	0	0	0	0	0	0	0	2	11
0	0	0	0	0	0	0	0	13	3	11
0	90	0	0	0	0	0	0	0	4	11
0	0	4	0	0	0	0	12	0	7	11
0	0	0	0	0	0	0	21	0	8	11
0	0	0	0	0	18	0	0	0	9	11
46	0	0	0	0	0	0	0	0	10	11
0	0	0	11	0	0	0	0	0	11	11
0	0	13	0	0	0	0	0	0	12	11
0	0	0	0	0	0	0	16	0	14	11
0	0	0	0	0	5	4	0	0	15	11
54	0	0	0	0	0	0	0	0	16	11
0	0	31	0	39	77	74	0	87	17	11
0	0	0	89	0	0	0	0	0	18	11
0	0	0	0	0	0	14	0	0	19	11
0	0	0	0	0	0	8	0	0	20	11
0	0	52	0	0	0	0	51	0	21	11
0	0	0	0	49	0	0	0	0	22	11
0	0	0	0	12	0	0	0	0	23	11
0	0	0	0	0	0	0	0	0	1	44
0	10	0	0	0	0	0	0	0	2	44
0	0	0	0	0	0	0	0	13	3	44
0	90	0	0	0	0	0	0	0	4	44
0	0	4	0	0	0	0	12	0	7	44
0	0	0	0	0	0	0	21	0	8	44
0	0	0	0	0	18	0	0	0	9	44
46	0	0	0	0	0	0	0	0	10	44
0	0	0	11	0	0	0	0	0	11	44
0	0	13	0	0	0	0	0	0	12	44
0	0	0	0	0	0	0	16	0	14	44
0	0	0	0	0	5	18	0	0	15	44
54	0	0	0	0	0	0	0	0	16	44
0	0	31	0	39	77	60	0	87	17	44
0	0	0	89	0	0	0	0	0	18	44
0	0	0	0	0	0	14	0	0	19	44
0	0	0	0	0	0	8	0	0	20	44
0	0	52	0	0	0	0	51	0	21	44
0	0	0	0	49	0	0	0	0	22	44
0	0	0	0	12	0	0	0	0	23	44
0	0	0	0	0	0	0	0	0	1	45
0	10	0	0	0	0	0	0	0	2	45
0	0	0	0	0	0	0	0	13	3	45
0	90	0	0	0	0	0	0	0	4	45
0	0	4	0	0	0	0	12	0	7	45
0	0	0	0	0	0	0	21	0	8	45
0	0	0	0	0	18	0	0	0	9	45
46	0	0	0	0	0	0	0	0	10	45
0	0	0	11	0	0	0	0	0	11	45
0	0	13	0	0	0	0	0	0	12	45
0	0	0	0	0	0	0	16	0	14	45
0	0	0	0	0	5	18	0	0	15	45
54	0	0	0	0	0	0	0	0	16	45
0	0	31	0	39	77	61.719298245614	0	87	17	45
0	0	0	89	0	0	0	0	0	18	45
0	0	0	0	0	0	12.280701754386	0	0	19	45
0	0	0	0	0	0	8	0	0	20	45
0	0	52	0	0	0	0	51	0	21	45
0	0	0	0	49	0	0	0	0	22	45
0	0	0	0	12	0	0	0	0	23	45
0	0	0	0	0	0	0	0	0	1	46
0	9.09090909090909	0	0	0	0	0	0	0	2	46
0	0	0	0	0	0	0	0	13	3	46
0	90.9090909090909	0	0	0	0	0	0	0	4	46
0	0	4	0	0	0	0	12	0	7	46
0	0	0	0	0	0	0	21	0	8	46
0	0	0	0	0	18	0	0	0	9	46
46	0	0	0	0	0	0	0	0	10	46
0	0	0	11	0	0	0	0	0	11	46
0	0	13	0	0	0	0	0	0	12	46
0	0	0	0	0	0	0	16	0	14	46
0	0	0	0	0	5	4	0	0	15	46
54	0	0	0	0	0	0	0	0	16	46
0	0	31	0	39	77	74	0	87	17	46
0	0	0	89	0	0	0	0	0	18	46
0	0	0	0	0	0	14	0	0	19	46
0	0	0	0	0	0	8	0	0	20	46
0	0	52	0	0	0	0	51	0	21	46
0	0	0	0	49	0	0	0	0	22	46
0	0	0	0	12	0	0	0	0	23	46
0	0	0	0	0	0	0	0	0	1	50
0	10	0	0	0	0	0	0	0	2	50
0	0	0	0	0	0	0	0	13	3	50
0	90	0	0	0	0	0	0	0	4	50
0	0	4	0	0	0	0	12	0	7	50
0	0	0	0	0	0	0	21	0	8	50
0	0	0	0	0	18	0	0	0	9	50
46	0	0	0	0	0	0	0	0	10	50
0	0	0	11	0	0	0	0	0	11	50
0	0	13	0	0	0	0	0	0	12	50
0	0	0	0	0	0	0	16	0	14	50
0	0	0	0	0	23	12	0	0	15	50
