	#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var	sample_type	purity	ploidy
0	0	CRUK0343_SU_FLN1	0	LN_SU_FLN1	0	PDGFRL:8:17485948:C	65	83	metastasis	0.6	3.05
1	1	CRUK0343_SU_LN1	1	LN_SU_LN1	0	PDGFRL:8:17485948:C	70	288	metastasis	0.73	3.1
2	2	CRUK0343_SU_T1.R1	2	primary_SU_T1.R1	0	PDGFRL:8:17485948:C	248	176	primary	0.37	3.1
3	3	CRUK0343_SU_T1.R2	3	primary_SU_T1.R2	0	PDGFRL:8:17485948:C	177	194	primary	0.51	2.9
4	4	CRUK0343_SU_T1.R3	4	primary_SU_T1.R3	0	PDGFRL:8:17485948:C	278	134	primary	0.31	3.45
5	5	CRUK0343_SU_T1.R4	5	primary_SU_T1.R4	0	PDGFRL:8:17485948:C	235	158	primary	0.44	3.1
6	6	CRUK0343_SU_T1.R5	6	primary_SU_T1.R5	0	PDGFRL:8:17485948:C	221	209	primary	0.45	3.05
7	0	CRUK0343_SU_FLN1	0	LN_SU_FLN1	1	RXRA:9:137323739:C	46	124	metastasis	0.6	3.05
8	1	CRUK0343_SU_LN1	1	LN_SU_LN1	1	RXRA:9:137323739:C	65	246	metastasis	0.73	3.1
9	2	CRUK0343_SU_T1.R1	2	primary_SU_T1.R1	1	RXRA:9:137323739:C	157	127	primary	0.37	3.1
10	3	CRUK0343_SU_T1.R2	3	primary_SU_T1.R2	1	RXRA:9:137323739:C	152	173	primary	0.51	2.9
11	4	CRUK0343_SU_T1.R3	4	primary_SU_T1.R3	1	RXRA:9:137323739:C	228	123	primary	0.31	3.45
12	5	CRUK0343_SU_T1.R4	5	primary_SU_T1.R4	1	RXRA:9:137323739:C	156	127	primary	0.44	3.1
13	6	CRUK0343_SU_T1.R5	6	primary_SU_T1.R5	1	RXRA:9:137323739:C	150	139	primary	0.45	3.05
14	0	CRUK0343_SU_FLN1	0	LN_SU_FLN1	2	SFI1:22:31926910:T	11	24	metastasis	0.6	3.05
